called_strike,1,1,-0.18,2.424,3.83,1.83
hit_into_play,1,2,-0.486,1.557,3.71,1.73
ball,0,0,-0.969,1.747,3.79,1.79
ball,1,0,-1.03,1.756,3.76,1.79
blocked_ball,2,0,-0.948,0.558,3.79,1.79
hit_into_play_no_out,3,0,0.011,2.797,3.71,1.73
ball,0,0,-1.615,2.506,3.72,1.79
hit_into_play,1,0,-0.345,2.237,3.71,1.73
ball,0,0,-1.154,2.098,3.61,1.83
foul,1,0,-0.574,2.63,3.71,1.73
swinging_strike,1,1,0.115,3.284,3.71,1.73
hit_into_play,1,2,-0.265,2.68,3.71,1.73
ball,0,0,0.542,1.134,3.73,1.74
ball,1,0,-0.279,1.483,3.73,1.74
foul,2,0,-0.563,2.275,3.73,1.74
swinging_strike,2,1,-0.991,2.492,3.73,1.74
foul,2,2,0.077,2.771,3.73,1.74
hit_into_play,2,2,-0.943,2.435,3.73,1.74
swinging_strike,0,0,-0.41,2.471,3.73,1.74
ball,0,1,0.507,0.638,3.73,1.74
foul,1,1,-0.445,2.737,3.73,1.74
ball,1,2,0.868,1.271,3.73,1.74
foul,2,2,-0.895,2.812,3.73,1.74
ball,2,2,-1.517,3.563,3.73,1.74
ball,3,2,-0.643,4.383,3.73,1.74
ball,0,0,-1.293,3.561,3.73,1.74
called_strike,1,0,-1.114,2.165,3.78,1.78
foul,1,1,-0.872,3.036,3.73,1.74
hit_into_play_no_out,1,2,-0.251,3.979,3.73,1.74
called_strike,0,0,-0.786,1.918,3.73,1.74
ball,0,1,-1.108,1.849,3.73,1.74
called_strike,1,1,-1.115,2.405,3.73,1.81
ball,1,2,0.72,2.184,3.6,1.78
called_strike,2,2,-1.264,3.24,3.6,1.81
foul,0,0,-0.33,2.72,3.72,1.73
hit_into_play,0,1,0.2,2.58,3.84,1.73
ball,0,0,-0.93,0.43,3.82,1.73
ball,1,0,-0.47,0.79,3.86,2
ball,2,0,0.51,4.52,3.95,1.73
hit_into_play_no_out,3,0,-0.25,2.64,3.84,1.73
ball,0,0,0.5,3.34,3.86,1.73
ball,1,0,1.19,1.21,3.82,1.73
ball,2,0,1.93,2.32,3.91,1.96
ball,3,0,-1.62,3.29,3.82,1.73
hit_into_play_no_out,0,0,-0.3,2.15,3.84,1.73
called_strike,0,0,0.13,1.85,3.86,1.73
swinging_strike,0,1,-0.26,1.55,3.84,1.73
hit_into_play,0,2,-0.47,1.79,3.84,1.73
ball,0,0,-0.284,1.178,3.74,1.76
called_strike,1,0,-0.548,2.086,3.74,1.76
called_strike,1,1,0.51,2.337,3.74,1.76
ball,1,2,-1.392,3.962,3.82,1.76
foul,2,2,0.222,2.116,3.74,1.76
hit_into_play,2,2,0.711,3.117,3.74,1.76
